fea/depth mAP	1	2	3	4	5	6	7	8
fea_r	75.6	75.1	75.1	75.3	75	75.1	75.4	75.1
fea_f	79.2	78.7	78.9	79.4	79.5	79.1	79.1	79.1
fea_1	76.5	76.7	76.4	76.4	76.6	76.2	76.8	76.5
fea_2	79	79.6	77.7	78.1	79.3	79.2	79.3	79.6
fea_3	78.7	76.9	79.3	79	78.3	78.4	79	78.1
fea_4	79.9	79.1	79	79.3	80.4	80	80	79.7
all	82.4	82.6	81.9	82.1	82.6	82.3	82.6	82.2
fea/depth R1	1	2	3	4	5	6	7	8
fea_r	87.3	86.4	86.4	86.7	86.1	86.6	86.7	86.6
fea_f	89.2	88.9	89.5	89	89.5	88.8	89.4	88.5
fea_1	88.1	87.8	87.7	87.7	87.6	87.2	87.6	87.5
fea_2	89.8	89.5	88.5	88.8	89.3	89.8	89.4	88.8
fea_3	89.5	88	89.4	89.5	88.3	89	89.3	88.5
fea_4	89.6	89.7	89.2	88.6	90.3	89.6	89.9	89.2
all	90.6	91.2	90.3	90	90.7	90.6	90.5	89.9
