fea/depth mAP	1	2	3	4	5	6
fea_r	54.3	55.2	55.2	54.9	55.1	54.8
fea_1	54.8	55.4	55.4	55.0	55.7	55.4
fea_3	65.2	65.9	65.5	65.3	65.7	65.8
fea_f	63.0	63.7	63.7	63.4	64.2	63.6
fea_2	65.1	65.9	65.9	65.6	66.3	65.6
fea_4	67.0	67.7	67.6	67.4	67.4	66.8
all	    69.0	69.5	69.3	69.0	69.7	69.5
fea/depth R1	1	2	3	4	5	6
fea_r	78.2	79	79.3	78.4	78.7	78.7
fea_1	79.0	79.4	79.5	79.5	79.8	79.2
fea_3	84.7	85.3	85.2	85.1	85.4	85.3
fea_f	81.8	82.3	82.5	82.3	82.8	82.4
fea_2	83.6	84.3	84.3	84.1	84.6	84.3
fea_4	85.2	85.6	85.5	85.7	86.1	85.4
all	86.0	86.7	86.6	86.6	86.7	86.5
