fea/depth mAP	1	2	3	4	5	6
fea_r	86.1	86.2	86.1	86.4	86.2	86.4
fea_1	86.7	86.9	87.1	87.1	87.2	87.1
fea_3	88.2	88.3	88.7	88.6	88.7	88.5
fea_f	88.7	88.7	88.9	88.7	88.8	88.8
fea_2	89.4	89.5	89.7	89.7	89.5	89.6
fea_4	90.5	90.9	90.8	90.5	90.6	90.3
all	    91.5	91.7	91.8	91.7	91.8	91.7
fea/depth R1	1	2	3	4	5	6
fea_r	94.0	94.2	94.3	94.4	94.4	94.7
fea_1	94.8	94.9	94.7	95.0	95.1	95.3
fea_3	95.2	95.3	95.4	95.5	95.7	95.5
fea_f	94.8	95.0	95.2	94.8	94.9	94.9
fea_2	95.2	95.4	95.7	95.7	95.1	95.5
fea_4	95.8	96.0	96.0	95.8	96.4	96.1
all	96.1	96.3	96.4	96.2	96.6	96.3
